Trial,Stimulus,Order,SearchOrCount
1,sheep.jpg,1,Search
2,flower.jpg,1,Search
3,fjord.jpg,1,Search
4,droplets.jpg,1,Search
5,birds.jpg,1,Search
6,eggs.jpg,1,Count
7,dolphins.jpg,1,Count
8,penguins.jpg,1,Count
9,trees.jpg,1,Count
10,space_capsules.jpg,1,Count
1,sheep.jpg,2,Count
2,flower.jpg,2,Count
3,fjord.jpg,2,Count
4,droplets.jpg,2,Count
5,birds.jpg,2,Count
6,eggs.jpg,2,Search
7,dolphins.jpg,2,Search
8,penguins.jpg,2,Search
9,trees.jpg,2,Search
10,space_capsules.jpg,2,Search
