ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,1,1,378,402,26,884,499,824.2,591.8,196.93,104,FALSE,DOWN,2.66,RIGHT,Visual foraging,552,459.20000000000005,1,sheep.jpg,Search
cass1,1,2,552,576,26,827.2,593.4,772.1,684.7,172.79,95.01,FALSE,DOWN,2.54,RIGHT,Visual foraging,457.6,366.29999999999995,1,sheep.jpg,Search
cass1,1,3,790,838,50,780.5,689,766.5,320.7,503.01,222.48,FALSE,UP,9.34,RIGHT,Visual foraging,362,730.3,1,sheep.jpg,Search
cass1,1,4,1100,1138,40,766.9,303.5,716.2,432.2,282.27,119.03,FALSE,DOWN,3.52,RIGHT,Visual foraging,747.5,618.8,1,sheep.jpg,Search
cass1,1,5,1284,1344,62,711.5,444,1366.3,665.2,565.43,256.02,FALSE,RIGHT,14.49,RIGHT,Visual foraging,607,385.79999999999995,1,sheep.jpg,Search
cass1,1,6,1608,1648,42,1371.5,681.9,860.4,718.4,410.92,246.19,FALSE,LEFT,10.34,RIGHT,Visual foraging,369.1,332.6,1,sheep.jpg,Search
cass1,1,7,1936,1958,24,862.6,714.6,782.8,650,170.13,93.12,FALSE,LEFT,2.28,RIGHT,Visual foraging,336.4,401,1,sheep.jpg,Search
cass1,1,8,2106,2126,22,784.8,662.7,833.7,672.2,98.53,51.25,FALSE,RIGHT,1.04,RIGHT,Visual foraging,388.29999999999995,378.79999999999995,1,sheep.jpg,Search
cass1,1,9,2404,2448,46,822.7,680.6,1103.5,646,383.55,149.39,FALSE,RIGHT,5.83,RIGHT,Visual foraging,370.4,405,1,sheep.jpg,Search
cass1,1,10,2600,2650,52,1123.2,640.5,834.5,443.3,408.34,181.6,FALSE,LEFT,7.79,RIGHT,Visual foraging,410.5,607.7,1,sheep.jpg,Search
cass1,1,11,2900,2934,36,806,438.8,500.6,469.4,365.25,177.4,FALSE,LEFT,6.43,RIGHT,Visual foraging,612.2,581.6,1,sheep.jpg,Search
cass1,1,12,3176,3208,34,502.4,480,437.5,537.9,202.07,87.99,FALSE,DOWN,1.98,RIGHT,Visual foraging,571,513.1,1,sheep.jpg,Search
cass1,1,13,3554,3576,24,432.3,553.1,330.5,629.5,212.95,111.13,FALSE,LEFT,2.8,RIGHT,Visual foraging,497.9,421.5,1,sheep.jpg,Search
cass1,1,14,3978,4042,66,329.4,629.5,1233.9,670.1,599.75,298.8,FALSE,RIGHT,18.23,RIGHT,Visual foraging,421.5,380.9,1,sheep.jpg,Search
cass1,1,15,4192,4220,30,1250.5,680.9,1292.3,806.9,227.72,115.69,FALSE,DOWN,3.12,RIGHT,Visual foraging,370.1,244.10000000000002,1,sheep.jpg,Search
cass1,1,16,4468,4532,66,1295.1,814.7,1468.7,230,610.45,257.71,FALSE,UP,14.76,RIGHT,Visual foraging,236.29999999999995,821,1,sheep.jpg,Search
cass1,1,17,4874,4930,58,1454.9,227.9,853.9,408.6,497.44,242.24,FALSE,LEFT,13.29,RIGHT,Visual foraging,823.1,642.4,1,sheep.jpg,Search
cass1,1,18,5112,5140,30,831.9,421.8,776.6,456.2,165.18,77.6,FALSE,LEFT,1.47,RIGHT,Visual foraging,629.2,594.8,1,sheep.jpg,Search
cass1,1,19,5318,5358,42,770.5,468.7,914.3,636.8,396.11,155.61,FALSE,DOWN,5.2,RIGHT,Visual foraging,582.3,414.20000000000005,1,sheep.jpg,Search
cass1,1,20,5666,5716,52,934,652.7,790.9,430.6,482.73,181.12,FALSE,UP,6.36,RIGHT,Visual foraging,398.29999999999995,620.4,1,sheep.jpg,Search
cass1,1,21,6306,6368,64,771.7,461.8,1438.7,628.8,530.7,241.99,FALSE,RIGHT,14.22,RIGHT,Visual foraging,589.2,422.20000000000005,1,sheep.jpg,Search
cass1,1,22,6488,6638,152,1456.6,634.7,1339.3,651.3,1343.58,349.49,TRUE,LEFT,2.36,RIGHT,Visual foraging,416.29999999999995,399.70000000000005,1,sheep.jpg,Search
cass1,1,23,6902,6960,60,1343.5,658.3,751.9,562.4,452.24,219.02,FALSE,LEFT,12.29,RIGHT,Visual foraging,392.70000000000005,488.6,1,sheep.jpg,Search
cass1,1,24,7204,7224,22,717.9,566.1,726,637.6,137.77,77.97,FALSE,DOWN,1.8,RIGHT,Visual foraging,484.9,413.4,1,sheep.jpg,Search
cass1,1,25,7446,7472,28,725.4,643.7,781.8,771.2,229.39,120.71,FALSE,DOWN,3.31,RIGHT,Visual foraging,407.29999999999995,279.79999999999995,1,sheep.jpg,Search
cass1,1,26,7726,7764,40,791.1,767,478.6,696.8,330.01,163.84,FALSE,LEFT,6.56,RIGHT,Visual foraging,284,354.20000000000005,1,sheep.jpg,Search
cass1,1,27,7954,8190,238,484.8,720.9,678.8,428.4,1165.89,360.25,TRUE,UP,8.33,RIGHT,Visual foraging,330.1,622.6,1,sheep.jpg,Search
cass1,1,28,8374,8406,34,686.3,483.3,759.7,499.7,173.23,77.44,FALSE,RIGHT,1.59,RIGHT,Visual foraging,567.7,551.3,1,sheep.jpg,Search
cass1,1,29,8598,8648,52,769.4,495.2,1129.9,775.6,560.29,217.05,FALSE,RIGHT,10.14,RIGHT,Visual foraging,555.8,275.4,1,sheep.jpg,Search
cass1,1,30,8826,8858,34,1139,794.5,1238.5,857.8,218.03,100.56,FALSE,RIGHT,2.47,RIGHT,Visual foraging,256.5,193.20000000000005,1,sheep.jpg,Search
cass1,1,31,8966,9014,50,1253.8,856.3,839.4,756.1,414.9,187.13,FALSE,LEFT,8.63,RIGHT,Visual foraging,194.70000000000005,294.9,1,sheep.jpg,Search
cass1,1,32,9286,9308,24,818.8,753.9,723.8,703,180.04,92.77,FALSE,LEFT,2.3,RIGHT,Visual foraging,297.1,348,1,sheep.jpg,Search
cass1,1,33,9646,9662,18,734,714,682.5,740.9,98.85,62.42,FALSE,LEFT,1.24,RIGHT,Visual foraging,337,310.1,1,sheep.jpg,Search
cass1,1,34,9692,9730,40,690.2,739.5,339.7,694.1,326.44,175.81,FALSE,LEFT,7.14,RIGHT,Visual foraging,311.5,356.9,1,sheep.jpg,Search
cass1,1,35,9996,10016,22,350.7,702.3,291.5,656,122.02,69.41,FALSE,LEFT,1.63,RIGHT,Visual foraging,348.70000000000005,395,1,sheep.jpg,Search
cass1,1,36,10374,10384,12,285.8,666.8,271.4,690.4,57.36,47.71,FALSE,DOWN,0.64,RIGHT,Visual foraging,384.20000000000005,360.6,1,sheep.jpg,Search
cass1,1,37,10452,10516,66,272.7,685.9,1221,736.8,595.39,306.16,FALSE,RIGHT,18.91,RIGHT,Visual foraging,365.1,314.20000000000005,1,sheep.jpg,Search
cass1,1,38,10792,10814,24,1247,745.5,1310.4,801.3,147.51,81.04,FALSE,DOWN,1.83,RIGHT,Visual foraging,305.5,249.70000000000005,1,sheep.jpg,Search
cass1,1,39,11106,11132,28,1284.7,804.9,1484.3,655.8,374.03,191.23,FALSE,RIGHT,5.3,RIGHT,Visual foraging,246.10000000000002,395.20000000000005,1,sheep.jpg,Search
cass1,1,40,11492,11520,30,1477.9,657.9,1530.4,432.3,367.48,190.72,FALSE,UP,5.65,RIGHT,Visual foraging,393.1,618.7,1,sheep.jpg,Search
cass1,1,41,11844,11874,32,1517.5,441.2,1279,531.6,337.61,166.58,FALSE,LEFT,5.31,RIGHT,Visual foraging,609.8,519.4,1,sheep.jpg,Search
cass1,1,42,12126,12156,32,1263.2,542.7,1180.2,566.9,188.09,86.43,FALSE,LEFT,1.8,RIGHT,Visual foraging,508.29999999999995,484.1,1,sheep.jpg,Search
cass1,1,43,12272,12308,38,1166.7,569.6,831.6,691.8,420.55,200.71,FALSE,LEFT,7.52,RIGHT,Visual foraging,481.4,359.20000000000005,1,sheep.jpg,Search
cass1,1,44,12592,12622,32,843.4,691.3,768.2,692.6,162.33,74.36,FALSE,LEFT,1.54,RIGHT,Visual foraging,359.70000000000005,358.4,1,sheep.jpg,Search
cass1,1,45,12816,12838,24,764.6,702.1,728.8,765.4,151.7,79.23,FALSE,DOWN,1.7,RIGHT,Visual foraging,348.9,285.6,1,sheep.jpg,Search
cass1,1,46,13004,13056,54,729.1,755.6,1239.8,824.8,482.82,212.2,FALSE,RIGHT,10.39,RIGHT,Visual foraging,295.4,226.20000000000005,1,sheep.jpg,Search
cass1,1,47,13170,13228,60,1265.6,818.6,1027.5,366,570.68,238.29,FALSE,UP,12.19,RIGHT,Visual foraging,232.39999999999998,685,1,sheep.jpg,Search
cass1,1,48,13428,13466,40,1029,375.2,699.2,448.8,394.56,179.17,FALSE,LEFT,7.2,RIGHT,Visual foraging,675.8,602.2,1,sheep.jpg,Search
cass1,1,49,13714,13770,58,706.9,467.8,1447.6,206.5,661.18,308.22,FALSE,RIGHT,16.72,RIGHT,Visual foraging,583.2,844.5,1,sheep.jpg,Search
cass1,1,50,14026,14072,48,1465.4,193,1134.5,82.4,377.35,166.74,FALSE,LEFT,7.44,RIGHT,Visual foraging,858,968.6,1,sheep.jpg,Search
cass1,1,51,14232,14290,60,1116.5,85,498.8,163,474.49,235.54,FALSE,LEFT,13.21,RIGHT,Visual foraging,966,888,1,sheep.jpg,Search
