RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_ADJUSTED,CURRENT_FIX_BLINK_AROUND,CURRENT_FIX_BUTTON_0_PRESS,CURRENT_FIX_BUTTON_1_PRESS,CURRENT_FIX_BUTTON_2_PRESS,CURRENT_FIX_BUTTON_3_PRESS,CURRENT_FIX_BUTTON_4_PRESS,CURRENT_FIX_BUTTON_5_PRESS,CURRENT_FIX_BUTTON_6_PRESS,CURRENT_FIX_BUTTON_7_PRESS,CURRENT_FIX_BUTTON_8_PRESS,CURRENT_FIX_DURATION,CURRENT_FIX_END,CURRENT_FIX_END_OTHER,CURRENT_FIX_INDEX,CURRENT_FIX_INPUT_EVENTS,CURRENT_FIX_INTEREST_AREAS,CURRENT_FIX_INTEREST_AREA_DATA,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_GROUP,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_INDEX,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_PIXEL_AREA,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_INTEREST_AREA_X_OFFSET,CURRENT_FIX_INTEREST_AREA_Y_OFFSET,CURRENT_FIX_IS_RT_END,CURRENT_FIX_LABEL,CURRENT_FIX_MSG_COUNT,CURRENT_FIX_MSG_LIST_TEXT,CURRENT_FIX_MSG_LIST_TIME,CURRENT_FIX_MSG_TEXT_1,CURRENT_FIX_MSG_TIME_1,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,CURRENT_FIX_PUPIL,CURRENT_FIX_REFIX_INTEREST_AREA,CURRENT_FIX_REFIX_PREV_INTEREST_AREA,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_RUN_INDEX,CURRENT_FIX_RUN_SIZE,CURRENT_FIX_START,CURRENT_FIX_START_OTHER,CURRENT_FIX_TRIAL_SPAN,CURRENT_FIX_X,CURRENT_FIX_X_OTHER,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_OTHER,CURRENT_FIX_Y_RESOLUTION,DATA_FILE,EYE_USED,GROUPING_VARIABLES,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,LAST_BUTTON_PRESSED,LAST_BUTTON_PRESSED_TIME,LAST_BUTTON_RELEASED,LAST_BUTTON_RELEASED_TIME,LAST_BUTTON_TIME,NEXT_FIX_ANGLE,NEXT_FIX_BLINK_AROUND,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_DURATION,NEXT_FIX_END,NEXT_FIX_END_OTHER,NEXT_FIX_INPUT_EVENTS,NEXT_FIX_INTEREST_AREAS,NEXT_FIX_INTEREST_AREA_DATA,NEXT_FIX_INTEREST_AREA_DWELL_TIME,NEXT_FIX_INTEREST_AREA_FIX_COUNT,NEXT_FIX_INTEREST_AREA_GROUP,NEXT_FIX_INTEREST_AREA_ID,NEXT_FIX_INTEREST_AREA_INDEX,NEXT_FIX_INTEREST_AREA_LABEL,NEXT_FIX_INTEREST_AREA_PIXEL_AREA,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_IS_RT_END,NEXT_FIX_LABEL,NEXT_FIX_MSG_COUNT,NEXT_FIX_MSG_LIST_TEXT,NEXT_FIX_MSG_LIST_TIME,NEXT_FIX_MSG_TEXT_1,NEXT_FIX_MSG_TIME_1,NEXT_FIX_NEAREST_INTEREST_AREA,NEXT_FIX_NEAREST_INTEREST_AREA_DISTANCE,NEXT_FIX_NEAREST_INTEREST_AREA_LABEL,NEXT_FIX_PUPIL,NEXT_FIX_RUN_DWELL_TIME,NEXT_FIX_RUN_INDEX,NEXT_FIX_RUN_SIZE,NEXT_FIX_START,NEXT_FIX_START_OTHER,NEXT_FIX_TRIAL_SPAN,NEXT_FIX_X,NEXT_FIX_X_OTHER,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_OTHER,NEXT_FIX_Y_RESOLUTION,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_BLINK_DURATION,NEXT_SAC_BLINK_END,NEXT_SAC_BLINK_START,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_INTEREST_AREAS,NEXT_SAC_END_INTEREST_AREA_ID,NEXT_SAC_END_INTEREST_AREA_INDEX,NEXT_SAC_END_INTEREST_AREA_LABEL,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_X_RESOLUTION,NEXT_SAC_END_Y,NEXT_SAC_END_Y_RESOLUTION,NEXT_SAC_INDEX,NEXT_SAC_INPUT_EVENTS,NEXT_SAC_IS_RT_END,NEXT_SAC_LABEL,NEXT_SAC_MSG_COUNT,NEXT_SAC_MSG_LIST_TEXT,NEXT_SAC_MSG_LIST_TIME,NEXT_SAC_MSG_TEXT_1,NEXT_SAC_MSG_TIME_1,NEXT_SAC_NEAREST_END_INTEREST_AREA,NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL,NEXT_SAC_NEAREST_START_INTEREST_AREA,NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_START_INTEREST_AREAS,NEXT_SAC_START_INTEREST_AREA_ID,NEXT_SAC_START_INTEREST_AREA_INDEX,NEXT_SAC_START_INTEREST_AREA_LABEL,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_X_RESOLUTION,NEXT_SAC_START_Y,NEXT_SAC_START_Y_RESOLUTION,PREVIOUS_FIX_ANGLE,PREVIOUS_FIX_BLINK_AROUND,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_END,PREVIOUS_FIX_END_OTHER,PREVIOUS_FIX_INPUT_EVENTS,PREVIOUS_FIX_INTEREST_AREAS,PREVIOUS_FIX_INTEREST_AREA_DATA,PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME,PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT,PREVIOUS_FIX_INTEREST_AREA_GROUP,PREVIOUS_FIX_INTEREST_AREA_ID,PREVIOUS_FIX_INTEREST_AREA_INDEX,PREVIOUS_FIX_INTEREST_AREA_LABEL,PREVIOUS_FIX_INTEREST_AREA_PIXEL_AREA,PREVIOUS_FIX_INTEREST_AREA_RUN_ID,PREVIOUS_FIX_IS_RT_END,PREVIOUS_FIX_LABEL,PREVIOUS_FIX_MSG_COUNT,PREVIOUS_FIX_MSG_LIST_TEXT,PREVIOUS_FIX_MSG_LIST_TIME,PREVIOUS_FIX_MSG_TEXT_1,PREVIOUS_FIX_MSG_TIME_1,PREVIOUS_FIX_NEAREST_INTEREST_AREA,PREVIOUS_FIX_NEAREST_INTEREST_AREA_DISTANCE,PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL,PREVIOUS_FIX_PUPIL,PREVIOUS_FIX_RUN_DWELL_TIME,PREVIOUS_FIX_RUN_INDEX,PREVIOUS_FIX_RUN_SIZE,PREVIOUS_FIX_START,PREVIOUS_FIX_START_OTHER,PREVIOUS_FIX_TRIAL_SPAN,PREVIOUS_FIX_X,PREVIOUS_FIX_X_OTHER,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_OTHER,PREVIOUS_FIX_Y_RESOLUTION,PREVIOUS_SAC_AMPLITUDE,PREVIOUS_SAC_ANGLE,PREVIOUS_SAC_AVG_VELOCITY,PREVIOUS_SAC_BLINK_DURATION,PREVIOUS_SAC_BLINK_END,PREVIOUS_SAC_BLINK_START,PREVIOUS_SAC_CONTAINS_BLINK,PREVIOUS_SAC_DIRECTION,PREVIOUS_SAC_DURATION,PREVIOUS_SAC_END_INTEREST_AREAS,PREVIOUS_SAC_END_INTEREST_AREA_ID,PREVIOUS_SAC_END_INTEREST_AREA_INDEX,PREVIOUS_SAC_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_END_TIME,PREVIOUS_SAC_END_X,PREVIOUS_SAC_END_X_RESOLUTION,PREVIOUS_SAC_END_Y,PREVIOUS_SAC_END_Y_RESOLUTION,PREVIOUS_SAC_INDEX,PREVIOUS_SAC_INPUT_EVENTS,PREVIOUS_SAC_IS_RT_END,PREVIOUS_SAC_LABEL,PREVIOUS_SAC_MSG_COUNT,PREVIOUS_SAC_MSG_LIST_TEXT,PREVIOUS_SAC_MSG_LIST_TIME,PREVIOUS_SAC_MSG_TEXT_1,PREVIOUS_SAC_MSG_TIME_1,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_PEAK_VELOCITY,PREVIOUS_SAC_START_INTEREST_AREAS,PREVIOUS_SAC_START_INTEREST_AREA_ID,PREVIOUS_SAC_START_INTEREST_AREA_INDEX,PREVIOUS_SAC_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_START_TIME,PREVIOUS_SAC_START_X,PREVIOUS_SAC_START_X_RESOLUTION,PREVIOUS_SAC_START_Y,PREVIOUS_SAC_START_Y_RESOLUTION,TRIAL_FIXATION_TOTAL,TRIAL_LABEL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_END,VIDEO_FRAME_INDEX_START,VIDEO_NAME_END,VIDEO_NAME_START
anders,1,FALSE,AFTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,634,636,NA,1,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4 ms,2,"[SYNCTIME 437366, stimuli\f_pl_o1_div_+o.avi]","[117, 117]",SYNCTIME 437366,117,NA,NA,NA,577800,NA,NA,NA,NA,NA,4,NA,SPAN_NONE,43200,NA,5080,-73920,NA,4305,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,4446,BEFORE,RIGHT,"1,19",158,960,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 804 ms,0,[],[],NA,NA,NA,NA,NA,605000,NA,NA,NA,804,NA,SPAN_NONE,47520,NA,5095,-77530,NA,4360,"1,21",5858,42518,66,736,672,TRUE,UP,166,[ ],NA,NA,NA,802,47110,5100,-78550,4360,1,[],FALSE,Saccade: 638 ms,0,[],[],NA,NA,NA,NA,NA,NA,131188,[ ],NA,NA,NA,638,43890,5080,-74060,4310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,BEFORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,960,NA,2,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 804 ms,0,[],[],NA,NA,NA,NA,NA,605000,NA,NA,NA,NA,NA,804,NA,SPAN_NONE,47520,NA,5095,-77530,NA,4360,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,10714,NONE,UP,"2,79",92,1088,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 998 ms,0,[],[],NA,NA,NA,NA,NA,623600,NA,NA,NA,998,NA,SPAN_NONE,43290,NA,5200,-89360,NA,4520,"2,30",10835,9532,NA,NA,NA,FALSE,UP,36,[ ],NA,NA,NA,996,43870,5190,-87960,4500,2,[],FALSE,Saccade: 962 ms,0,[],[],NA,NA,NA,NA,NA,NA,22067,[ ],NA,NA,NA,962,47600,5090,-78270,4360,"-135,54",AFTER,LEFT,"1,19",634,636,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4 ms,2,"[SYNCTIME 437366, stimuli\f_pl_o1_div_+o.avi]","[117, 117]",SYNCTIME 437366,117,NA,NA,NA,577800,NA,NA,NA,4,NA,SPAN_NONE,43200,NA,5080,-73920,NA,4305,"1,21","58,58",42518,66,736,672,TRUE,UP,166,[ ],NA,NA,NA,802,47110,5100,-78550,4360,1,[],FALSE,Saccade: 638 ms,0,[],[],NA,NA,NA,NA,NA,NA,131188,[ ],NA,NA,NA,638,43890,5080,-74060,4310,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1088,NA,3,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 998 ms,0,[],[],NA,NA,NA,NA,NA,623600,NA,NA,NA,NA,NA,998,NA,SPAN_NONE,43290,NA,5200,-89360,NA,4520,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,-3550,NONE,RIGHT,"1,98",112,1238,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1128 ms,0,[],[],NA,NA,NA,NA,NA,611000,NA,NA,NA,1128,NA,SPAN_NONE,51610,NA,5130,-84210,NA,4445,"1,73",-3370,7775,NA,NA,NA,FALSE,RIGHT,38,[ ],NA,NA,NA,1126,50360,5140,-85050,4450,3,[],FALSE,Saccade: 1090 ms,0,[],[],NA,NA,NA,NA,NA,NA,16695,[ ],NA,NA,NA,1090,42930,5210,-89350,4530,"-72,86",BEFORE,DOWN,"2,79",158,960,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 804 ms,0,[],[],NA,NA,NA,NA,NA,605000,NA,NA,NA,804,NA,SPAN_NONE,47520,NA,5095,-77530,NA,4360,"2,30","108,35",9532,NA,NA,NA,FALSE,UP,36,[ ],NA,NA,NA,996,43870,5190,-87960,4500,2,[],FALSE,Saccade: 962 ms,0,[],[],NA,NA,NA,NA,NA,NA,22067,[ ],NA,NA,NA,962,47600,5090,-78270,4360,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,1238,NA,4,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1128 ms,0,[],[],NA,NA,NA,NA,NA,611000,NA,NA,NA,NA,NA,1128,NA,SPAN_NONE,51610,NA,5130,-84210,NA,4445,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,10485,AFTER,UP,"0,84",832,2082,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1252 ms,0,[],[],NA,NA,NA,NA,NA,590300,NA,NA,NA,1252,NA,SPAN_NONE,50510,NA,5150,-87810,NA,4475,"0,66",12366,4630,NA,NA,NA,FALSE,UP,12,[ ],NA,NA,NA,1250,49420,5150,-86620,4470,4,[],FALSE,Saccade: 1240 ms,0,[],[],NA,NA,NA,NA,NA,NA,5833,[ ],NA,NA,NA,1240,51310,5130,-84160,4440,"144,50",NONE,LEFT,"1,98",92,1088,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 998 ms,0,[],[],NA,NA,NA,NA,NA,623600,NA,NA,NA,998,NA,SPAN_NONE,43290,NA,5200,-89360,NA,4520,"1,73","-33,70",7775,NA,NA,NA,FALSE,RIGHT,38,[ ],NA,NA,NA,1126,50360,5140,-85050,4450,3,[],FALSE,Saccade: 1090 ms,0,[],[],NA,NA,NA,NA,NA,NA,16695,[ ],NA,NA,NA,1090,42930,5210,-89350,4530,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,AFTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,2082,NA,5,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1252 ms,0,[],[],NA,NA,NA,NA,NA,590300,NA,NA,NA,NA,NA,1252,NA,SPAN_NONE,50510,NA,5150,-87810,NA,4475,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,-5183,BEFORE,NA,"0,12",186,2440,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2256 ms,0,[],[],NA,NA,NA,NA,NA,593700,NA,NA,NA,2256,NA,SPAN_NONE,50890,NA,5145,-87390,NA,4470,"0,75",-9787,33194,78,2190,2114,TRUE,DOWN,172,[ ],NA,NA,NA,2254,50370,5120,-83210,4420,5,[],FALSE,Saccade: 2084 ms,0,[],[],NA,NA,NA,NA,NA,NA,81549,[ ],NA,NA,NA,2084,50900,5150,-86530,4470,"-75,15",NONE,DOWN,"0,84",112,1238,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1128 ms,0,[],[],NA,NA,NA,NA,NA,611000,NA,NA,NA,1128,NA,SPAN_NONE,51610,NA,5130,-84210,NA,4445,"0,66","123,66",4630,NA,NA,NA,FALSE,UP,12,[ ],NA,NA,NA,1250,49420,5150,-86620,4470,4,[],FALSE,Saccade: 1240 ms,0,[],[],NA,NA,NA,NA,NA,NA,5833,[ ],NA,NA,NA,1240,51310,5130,-84160,4440,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,BEFORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,2440,NA,6,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2256 ms,0,[],[],NA,NA,NA,NA,NA,593700,NA,NA,NA,NA,NA,2256,NA,SPAN_NONE,50890,NA,5145,-87390,NA,4470,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,7318,AFTER,NA,"0,16",968,3416,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2450 ms,0,[],[],NA,NA,NA,NA,NA,590600,NA,NA,NA,2450,NA,SPAN_NONE,51130,NA,5140,-88080,NA,4470,"0,33",-9205,3327,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,2448,50920,5150,-86600,4470,6,[],FALSE,Saccade: 2442 ms,0,[],[],NA,NA,NA,NA,NA,NA,3726,[ ],NA,NA,NA,2442,50980,5160,-88060,4490,"128,17",AFTER,NA,"0,12",832,2082,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 1252 ms,0,[],[],NA,NA,NA,NA,NA,590300,NA,NA,NA,1252,NA,SPAN_NONE,50510,NA,5150,-87810,NA,4475,"0,75","-97,87",33194,78,2190,2114,TRUE,DOWN,172,[ ],NA,NA,NA,2254,50370,5120,-83210,4420,5,[],FALSE,Saccade: 2084 ms,0,[],[],NA,NA,NA,NA,NA,NA,81549,[ ],NA,NA,NA,2084,50900,5150,-86530,4470,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,AFTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,3416,NA,7,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2450 ms,0,[],[],NA,NA,NA,NA,NA,590600,NA,NA,NA,NA,NA,2450,NA,SPAN_NONE,51130,NA,5140,-88080,NA,4470,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,-9431,BEFORE,DOWN,"0,65",842,4448,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 3608 ms,0,[],[],NA,NA,NA,NA,NA,590500,NA,NA,NA,3608,NA,SPAN_NONE,50880,NA,5135,-85200,NA,4445,"0,92",-10399,32071,90,3536,3448,TRUE,DOWN,190,[ ],NA,NA,NA,3606,50400,5110,-82100,4410,7,[],FALSE,Saccade: 3418 ms,0,[],[],NA,NA,NA,NA,NA,NA,88005,[ ],NA,NA,NA,3418,51540,5140,-86060,4460,"-106,82",BEFORE,NA,"0,16",186,2440,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2256 ms,0,[],[],NA,NA,NA,NA,NA,593700,NA,NA,NA,2256,NA,SPAN_NONE,50890,NA,5145,-87390,NA,4470,"0,33","-92,05",3327,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,2448,50920,5150,-86600,4470,6,[],FALSE,Saccade: 2442 ms,0,[],[],NA,NA,NA,NA,NA,NA,3726,[ ],NA,NA,NA,2442,50980,5160,-88060,4490,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,BEFORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,4448,NA,8,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 3608 ms,0,[],[],NA,NA,NA,NA,NA,590500,NA,NA,NA,NA,NA,3608,NA,SPAN_NONE,50880,NA,5135,-85200,NA,4445,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,-12195,NONE,DOWN,"4,60",154,4656,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4504 ms,0,[],[],NA,NA,NA,NA,NA,595000,NA,NA,NA,4504,NA,SPAN_NONE,38460,NA,5065,-68230,NA,4245,"4,96",-12109,12127,NA,NA,NA,FALSE,DOWN,54,[ ],NA,NA,NA,4502,37950,5070,-67920,4250,8,[],FALSE,Saccade: 4450 ms,0,[],[],NA,NA,NA,NA,NA,NA,30567,[ ],NA,NA,NA,4450,51040,5150,-86440,4470,"85,69",AFTER,UP,"0,65",968,3416,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 2450 ms,0,[],[],NA,NA,NA,NA,NA,590600,NA,NA,NA,2450,NA,SPAN_NONE,51130,NA,5140,-88080,NA,4470,"0,92","-103,99",32071,90,3536,3448,TRUE,DOWN,190,[ ],NA,NA,NA,3606,50400,5110,-82100,4410,7,[],FALSE,Saccade: 3418 ms,0,[],[],NA,NA,NA,NA,NA,NA,88005,[ ],NA,NA,NA,3418,51540,5140,-86060,4460,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,4656,NA,9,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4504 ms,0,[],[],NA,NA,NA,NA,NA,595000,NA,NA,NA,NA,NA,4504,NA,SPAN_NONE,38460,NA,5065,-68230,NA,4245,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,5961,NONE,NA,"0,43",130,4794,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4666 ms,0,[],[],NA,NA,NA,NA,NA,606500,NA,NA,NA,4666,NA,SPAN_NONE,39570,NA,5070,-69820,NA,4270,"0,32",6576,3687,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,4664,39550,5070,-69800,4260,9,[],FALSE,Saccade: 4658 ms,0,[],[],NA,NA,NA,NA,NA,NA,3997,[ ],NA,NA,NA,4658,38890,5070,-68570,4250,"58,06",BEFORE,UP,"4,60",842,4448,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 3608 ms,0,[],[],NA,NA,NA,NA,NA,590500,NA,NA,NA,3608,NA,SPAN_NONE,50880,NA,5135,-85200,NA,4445,"4,96","-121,09",12127,NA,NA,NA,FALSE,DOWN,54,[ ],NA,NA,NA,4502,37950,5070,-67920,4250,8,[],FALSE,Saccade: 4450 ms,0,[],[],NA,NA,NA,NA,NA,NA,30567,[ ],NA,NA,NA,4450,51040,5150,-86440,4470,15,Trial: 1,747615,NA,NA,NA,NA
anders,1,FALSE,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,4794,NA,10,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4666 ms,0,[],[],NA,NA,NA,NA,NA,606500,NA,NA,NA,NA,NA,4666,NA,SPAN_NONE,39570,NA,5070,-69820,NA,4270,anders.EDF,LEFT,RECORDING_SESSION,TRUE,754604,NA,Full Trial Period,TRUE,747615,NA,NA,NA,NA,NA,5875,NONE,UP,"4,24",150,4986,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4838 ms,0,[],[],NA,NA,NA,NA,NA,608300,NA,NA,NA,4838,NA,SPAN_NONE,50800,NA,5130,-85630,NA,4445,"3,71",5544,13184,NA,NA,NA,FALSE,UP,42,[ ],NA,NA,NA,4836,50190,5120,-83190,4420,10,[],FALSE,Saccade: 4796 ms,0,[],[],NA,NA,NA,NA,NA,NA,32860,[ ],NA,NA,NA,4796,39480,5070,-69930,4270,"-120,39",NONE,NA,"0,43",154,4656,NA,[],[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Fixation: 4504 ms,0,[],[],NA,NA,NA,NA,NA,595000,NA,NA,NA,4504,NA,SPAN_NONE,38460,NA,5065,-68230,NA,4245,"0,32","65,76",3687,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,4664,39550,5070,-69800,4260,9,[],FALSE,Saccade: 4658 ms,0,[],[],NA,NA,NA,NA,NA,NA,3997,[ ],NA,NA,NA,4658,38890,5070,-68570,4250,15,Trial: 1,747615,NA,NA,NA,NA
