RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_SAC_ADJUSTED,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_BLINK_DURATION,CURRENT_SAC_BLINK_END,CURRENT_SAC_BLINK_START,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_END_INTEREST_AREAS,CURRENT_SAC_END_INTEREST_AREA_DATA,CURRENT_SAC_END_INTEREST_AREA_ID,CURRENT_SAC_END_INTEREST_AREA_INDEX,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_END_INTEREST_AREA_X_OFFSET,CURRENT_SAC_END_INTEREST_AREA_Y_OFFSET,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_X_RESOLUTION,CURRENT_SAC_END_Y,CURRENT_SAC_END_Y_RESOLUTION,CURRENT_SAC_INDEX,CURRENT_SAC_INPUT_EVENTS,CURRENT_SAC_IS_RT_END,CURRENT_SAC_LABEL,CURRENT_SAC_MSG_COUNT,CURRENT_SAC_MSG_LIST_TEXT,CURRENT_SAC_MSG_LIST_TIME,CURRENT_SAC_MSG_TEXT_1,CURRENT_SAC_MSG_TIME_1,CURRENT_SAC_NEAREST_END_INTEREST_AREA,CURRENT_SAC_NEAREST_END_INTEREST_AREA_DISTANCE,CURRENT_SAC_NEAREST_END_INTEREST_AREA_LABEL,CURRENT_SAC_NEAREST_START_INTEREST_AREA,CURRENT_SAC_NEAREST_START_INTEREST_AREA_DISTANCE,CURRENT_SAC_NEAREST_START_INTEREST_AREA_LABEL,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_INTEREST_AREAS,CURRENT_SAC_START_INTEREST_AREA_DATA,CURRENT_SAC_START_INTEREST_AREA_ID,CURRENT_SAC_START_INTEREST_AREA_INDEX,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_START_INTEREST_AREA_X_OFFSET,CURRENT_SAC_START_INTEREST_AREA_Y_OFFSET,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_X_RESOLUTION,CURRENT_SAC_START_Y,CURRENT_SAC_START_Y_RESOLUTION,DATA_FILE,EYE_USED,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,NEXT_FIX_BLINK_AROUND,NEXT_FIX_DURATION,NEXT_FIX_END,NEXT_FIX_INDEX,NEXT_FIX_INPUT_EVENTS,NEXT_FIX_INTEREST_AREAS,NEXT_FIX_INTEREST_AREA_DWELL_TIME,NEXT_FIX_INTEREST_AREA_FIX_COUNT,NEXT_FIX_INTEREST_AREA_ID,NEXT_FIX_INTEREST_AREA_INDEX,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_IS_RT_END,NEXT_FIX_LABEL,NEXT_FIX_MSG_COUNT,NEXT_FIX_MSG_LIST_TEXT,NEXT_FIX_MSG_LIST_TIME,NEXT_FIX_MSG_TEXT_1,NEXT_FIX_MSG_TIME_1,NEXT_FIX_NEAREST_INTEREST_AREA,NEXT_FIX_NEAREST_INTEREST_AREA_LABEL,NEXT_FIX_PUPIL,NEXT_FIX_RUN_DWELL_TIME,NEXT_FIX_RUN_INDEX,NEXT_FIX_RUN_SIZE,NEXT_FIX_START,NEXT_FIX_TRIAL_SPAN,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_BLINK_DURATION,NEXT_SAC_BLINK_END,NEXT_SAC_BLINK_START,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_INTEREST_AREAS,NEXT_SAC_END_INTEREST_AREA_ID,NEXT_SAC_END_INTEREST_AREA_INDEX,NEXT_SAC_END_INTEREST_AREA_LABEL,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_X_RESOLUTION,NEXT_SAC_END_Y,NEXT_SAC_END_Y_RESOLUTION,NEXT_SAC_INDEX,NEXT_SAC_INPUT_EVENTS,NEXT_SAC_IS_RT_END,NEXT_SAC_LABEL,NEXT_SAC_MSG_COUNT,NEXT_SAC_MSG_LIST_TEXT,NEXT_SAC_MSG_LIST_TIME,NEXT_SAC_MSG_TEXT_1,NEXT_SAC_MSG_TIME_1,NEXT_SAC_NEAREST_END_INTEREST_AREA,NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL,NEXT_SAC_NEAREST_START_INTEREST_AREA,NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_PEAK_VELOCITY_TIME,NEXT_SAC_START_INTEREST_AREAS,NEXT_SAC_START_INTEREST_AREA_ID,NEXT_SAC_START_INTEREST_AREA_INDEX,NEXT_SAC_START_INTEREST_AREA_LABEL,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_X_RESOLUTION,NEXT_SAC_START_Y,NEXT_SAC_START_Y_RESOLUTION,PREVIOUS_FIX_BLINK_AROUND,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_END,PREVIOUS_FIX_INDEX,PREVIOUS_FIX_INPUT_EVENTS,PREVIOUS_FIX_INTEREST_AREAS,PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME,PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT,PREVIOUS_FIX_INTEREST_AREA_ID,PREVIOUS_FIX_INTEREST_AREA_INDEX,PREVIOUS_FIX_INTEREST_AREA_RUN_ID,PREVIOUS_FIX_IS_RT_END,PREVIOUS_FIX_LABEL,PREVIOUS_FIX_MSG_COUNT,PREVIOUS_FIX_MSG_LIST_TEXT,PREVIOUS_FIX_MSG_LIST_TIME,PREVIOUS_FIX_MSG_TEXT_1,PREVIOUS_FIX_MSG_TIME_1,PREVIOUS_FIX_NEAREST_INTEREST_AREA,PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL,PREVIOUS_FIX_PUPIL,PREVIOUS_FIX_RUN_DWELL_TIME,PREVIOUS_FIX_RUN_INDEX,PREVIOUS_FIX_RUN_SIZE,PREVIOUS_FIX_START,PREVIOUS_FIX_TRIAL_SPAN,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION,PREVIOUS_SAC_AMPLITUDE,PREVIOUS_SAC_ANGLE,PREVIOUS_SAC_AVG_VELOCITY,PREVIOUS_SAC_BLINK_DURATION,PREVIOUS_SAC_BLINK_END,PREVIOUS_SAC_BLINK_START,PREVIOUS_SAC_CONTAINS_BLINK,PREVIOUS_SAC_DIRECTION,PREVIOUS_SAC_DURATION,PREVIOUS_SAC_END_INTEREST_AREAS,PREVIOUS_SAC_END_INTEREST_AREA_ID,PREVIOUS_SAC_END_INTEREST_AREA_INDEX,PREVIOUS_SAC_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_END_TIME,PREVIOUS_SAC_END_X,PREVIOUS_SAC_END_X_RESOLUTION,PREVIOUS_SAC_END_Y,PREVIOUS_SAC_END_Y_RESOLUTION,PREVIOUS_SAC_INDEX,PREVIOUS_SAC_INPUT_EVENTS,PREVIOUS_SAC_IS_RT_END,PREVIOUS_SAC_LABEL,PREVIOUS_SAC_MSG_COUNT,PREVIOUS_SAC_MSG_LIST_TEXT,PREVIOUS_SAC_MSG_LIST_TIME,PREVIOUS_SAC_MSG_TEXT_1,PREVIOUS_SAC_MSG_TIME_1,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_PEAK_VELOCITY,PREVIOUS_SAC_PEAK_VELOCITY_TIME,PREVIOUS_SAC_START_INTEREST_AREAS,PREVIOUS_SAC_START_INTEREST_AREA_ID,PREVIOUS_SAC_START_INTEREST_AREA_INDEX,PREVIOUS_SAC_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_START_TIME,PREVIOUS_SAC_START_X,PREVIOUS_SAC_START_X_RESOLUTION,PREVIOUS_SAC_START_Y,PREVIOUS_SAC_START_Y_RESOLUTION,TRIAL_LABEL,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_END,VIDEO_FRAME_INDEX_START,VIDEO_NAME_END,VIDEO_NAME_START
anders,1,FALSE,1.21,5858,42518,66,736,672,TRUE,UP,166,[ ],NA,NA,NA,NA,NA,NA,802,47110,5100,-78550,4360,1,[],FALSE,Saccade: 638 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,131188,748275,[ ],NA,NA,NA,NA,NA,NA,638,43890,5080,-74060,4310,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,BEFORE,158,960,2,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 804 ms,0,[],[],NA,NA,NA,NA,605000,NA,NA,NA,804,SPAN_NONE,47520,5095,-77530,4360,"2,30",10835,9532,NA,NA,NA,FALSE,UP,36,[ ],NA,NA,NA,996,43870,5190,-87960,4500,2,[],FALSE,Saccade: 962 ms,0,[],[],NA,NA,NA,NA,NA,NA,22067,748589,[ ],NA,NA,NA,962,47600,5090,-78270,4360,AFTER,634,636,1,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4 ms,2,"[SYNCTIME 437366, stimuli\f_pl_o1_div_+o.avi]","[117, 117]",SYNCTIME 437366,117,NA,NA,577800,NA,NA,NA,4,SPAN_NONE,43200,5080,-73920,4305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,2.3,10835,9532,NA,NA,NA,FALSE,UP,36,[ ],NA,NA,NA,NA,NA,NA,996,43870,5190,-87960,4500,2,[],FALSE,Saccade: 962 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,22067,748589,[ ],NA,NA,NA,NA,NA,NA,962,47600,5090,-78270,4360,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,NONE,92,1088,3,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 998 ms,0,[],[],NA,NA,NA,NA,623600,NA,NA,NA,998,SPAN_NONE,43290,5200,-89360,4520,"1,73",-3370,7775,NA,NA,NA,FALSE,RIGHT,38,[ ],NA,NA,NA,1126,50360,5140,-85050,4450,3,[],FALSE,Saccade: 1090 ms,0,[],[],NA,NA,NA,NA,NA,NA,16695,748719,[ ],NA,NA,NA,1090,42930,5210,-89350,4530,BEFORE,158,960,2,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 804 ms,0,[],[],NA,NA,NA,NA,605000,NA,NA,NA,804,SPAN_NONE,47520,5095,-77530,4360,"1,21",5858,42518,66,736,672,TRUE,UP,166,[ ],NA,NA,NA,802,47110,5100,-78550,4360,1,[],FALSE,Saccade: 638 ms,0,[],[],NA,NA,NA,NA,NA,NA,131188,748275,[ ],NA,NA,NA,638,43890,5080,-74060,4310,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,1.73,-3370,7775,NA,NA,NA,FALSE,RIGHT,38,[ ],NA,NA,NA,NA,NA,NA,1126,50360,5140,-85050,4450,3,[],FALSE,Saccade: 1090 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,16695,748719,[ ],NA,NA,NA,NA,NA,NA,1090,42930,5210,-89350,4530,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,NONE,112,1238,4,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 1128 ms,0,[],[],NA,NA,NA,NA,611000,NA,NA,NA,1128,SPAN_NONE,51610,5130,-84210,4445,"0,66",12366,4630,NA,NA,NA,FALSE,UP,12,[ ],NA,NA,NA,1250,49420,5150,-86620,4470,4,[],FALSE,Saccade: 1240 ms,0,[],[],NA,NA,NA,NA,NA,NA,5833,748859,[ ],NA,NA,NA,1240,51310,5130,-84160,4440,NONE,92,1088,3,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 998 ms,0,[],[],NA,NA,NA,NA,623600,NA,NA,NA,998,SPAN_NONE,43290,5200,-89360,4520,"2,30",10835,9532,NA,NA,NA,FALSE,UP,36,[ ],NA,NA,NA,996,43870,5190,-87960,4500,2,[],FALSE,Saccade: 962 ms,0,[],[],NA,NA,NA,NA,NA,NA,22067,748589,[ ],NA,NA,NA,962,47600,5090,-78270,4360,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,0.66,12366,4630,NA,NA,NA,FALSE,UP,12,[ ],NA,NA,NA,NA,NA,NA,1250,49420,5150,-86620,4470,4,[],FALSE,Saccade: 1240 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,5833,748859,[ ],NA,NA,NA,NA,NA,NA,1240,51310,5130,-84160,4440,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,AFTER,832,2082,5,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 1252 ms,0,[],[],NA,NA,NA,NA,590300,NA,NA,NA,1252,SPAN_NONE,50510,5150,-87810,4475,"0,75",-9787,33194,78,2190,2114,TRUE,DOWN,172,[ ],NA,NA,NA,2254,50370,5120,-83210,4420,5,[],FALSE,Saccade: 2084 ms,0,[],[],NA,NA,NA,NA,NA,NA,81549,749717,[ ],NA,NA,NA,2084,50900,5150,-86530,4470,NONE,112,1238,4,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 1128 ms,0,[],[],NA,NA,NA,NA,611000,NA,NA,NA,1128,SPAN_NONE,51610,5130,-84210,4445,"1,73",-3370,7775,NA,NA,NA,FALSE,RIGHT,38,[ ],NA,NA,NA,1126,50360,5140,-85050,4450,3,[],FALSE,Saccade: 1090 ms,0,[],[],NA,NA,NA,NA,NA,NA,16695,748719,[ ],NA,NA,NA,1090,42930,5210,-89350,4530,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,0.75,-9787,33194,78,2190,2114,TRUE,DOWN,172,[ ],NA,NA,NA,NA,NA,NA,2254,50370,5120,-83210,4420,5,[],FALSE,Saccade: 2084 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,81549,749717,[ ],NA,NA,NA,NA,NA,NA,2084,50900,5150,-86530,4470,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,BEFORE,186,2440,6,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 2256 ms,0,[],[],NA,NA,NA,NA,593700,NA,NA,NA,2256,SPAN_NONE,50890,5145,-87390,4470,"0,33",-9205,3327,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,2448,50920,5150,-86600,4470,6,[],FALSE,Saccade: 2442 ms,0,[],[],NA,NA,NA,NA,NA,NA,3726,750061,[ ],NA,NA,NA,2442,50980,5160,-88060,4490,AFTER,832,2082,5,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 1252 ms,0,[],[],NA,NA,NA,NA,590300,NA,NA,NA,1252,SPAN_NONE,50510,5150,-87810,4475,"0,66",12366,4630,NA,NA,NA,FALSE,UP,12,[ ],NA,NA,NA,1250,49420,5150,-86620,4470,4,[],FALSE,Saccade: 1240 ms,0,[],[],NA,NA,NA,NA,NA,NA,5833,748859,[ ],NA,NA,NA,1240,51310,5130,-84160,4440,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,0.33,-9205,3327,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,NA,NA,NA,2448,50920,5150,-86600,4470,6,[],FALSE,Saccade: 2442 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,3726,750061,[ ],NA,NA,NA,NA,NA,NA,2442,50980,5160,-88060,4490,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,AFTER,968,3416,7,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 2450 ms,0,[],[],NA,NA,NA,NA,590600,NA,NA,NA,2450,SPAN_NONE,51130,5140,-88080,4470,"0,92",-10399,32071,90,3536,3448,TRUE,DOWN,190,[ ],NA,NA,NA,3606,50400,5110,-82100,4410,7,[],FALSE,Saccade: 3418 ms,0,[],[],NA,NA,NA,NA,NA,NA,88005,751051,[ ],NA,NA,NA,3418,51540,5140,-86060,4460,BEFORE,186,2440,6,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 2256 ms,0,[],[],NA,NA,NA,NA,593700,NA,NA,NA,2256,SPAN_NONE,50890,5145,-87390,4470,"0,75",-9787,33194,78,2190,2114,TRUE,DOWN,172,[ ],NA,NA,NA,2254,50370,5120,-83210,4420,5,[],FALSE,Saccade: 2084 ms,0,[],[],NA,NA,NA,NA,NA,NA,81549,749717,[ ],NA,NA,NA,2084,50900,5150,-86530,4470,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,0.92,-10399,32071,90,3536,3448,TRUE,DOWN,190,[ ],NA,NA,NA,NA,NA,NA,3606,50400,5110,-82100,4410,7,[],FALSE,Saccade: 3418 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,88005,751051,[ ],NA,NA,NA,NA,NA,NA,3418,51540,5140,-86060,4460,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,BEFORE,842,4448,8,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 3608 ms,0,[],[],NA,NA,NA,NA,590500,NA,NA,NA,3608,SPAN_NONE,50880,5135,-85200,4445,"4,96",-12109,12127,NA,NA,NA,FALSE,DOWN,54,[ ],NA,NA,NA,4502,37950,5070,-67920,4250,8,[],FALSE,Saccade: 4450 ms,0,[],[],NA,NA,NA,NA,NA,NA,30567,752081,[ ],NA,NA,NA,4450,51040,5150,-86440,4470,AFTER,968,3416,7,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 2450 ms,0,[],[],NA,NA,NA,NA,590600,NA,NA,NA,2450,SPAN_NONE,51130,5140,-88080,4470,"0,33",-9205,3327,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,2448,50920,5150,-86600,4470,6,[],FALSE,Saccade: 2442 ms,0,[],[],NA,NA,NA,NA,NA,NA,3726,750061,[ ],NA,NA,NA,2442,50980,5160,-88060,4490,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,4.96,-12109,12127,NA,NA,NA,FALSE,DOWN,54,[ ],NA,NA,NA,NA,NA,NA,4502,37950,5070,-67920,4250,8,[],FALSE,Saccade: 4450 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,30567,752081,[ ],NA,NA,NA,NA,NA,NA,4450,51040,5150,-86440,4470,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,NONE,154,4656,9,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4504 ms,0,[],[],NA,NA,NA,NA,595000,NA,NA,NA,4504,SPAN_NONE,38460,5065,-68230,4245,"0,32",6576,3687,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,4664,39550,5070,-69800,4260,9,[],FALSE,Saccade: 4658 ms,0,[],[],NA,NA,NA,NA,NA,NA,3997,752277,[ ],NA,NA,NA,4658,38890,5070,-68570,4250,BEFORE,842,4448,8,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 3608 ms,0,[],[],NA,NA,NA,NA,590500,NA,NA,NA,3608,SPAN_NONE,50880,5135,-85200,4445,"0,92",-10399,32071,90,3536,3448,TRUE,DOWN,190,[ ],NA,NA,NA,3606,50400,5110,-82100,4410,7,[],FALSE,Saccade: 3418 ms,0,[],[],NA,NA,NA,NA,NA,NA,88005,751051,[ ],NA,NA,NA,3418,51540,5140,-86060,4460,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,0.32,6576,3687,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,NA,NA,NA,4664,39550,5070,-69800,4260,9,[],FALSE,Saccade: 4658 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,3997,752277,[ ],NA,NA,NA,NA,NA,NA,4658,38890,5070,-68570,4250,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,NONE,130,4794,10,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4666 ms,0,[],[],NA,NA,NA,NA,606500,NA,NA,NA,4666,SPAN_NONE,39570,5070,-69820,4270,"3,71",5544,13184,NA,NA,NA,FALSE,UP,42,[ ],NA,NA,NA,4836,50190,5120,-83190,4420,10,[],FALSE,Saccade: 4796 ms,0,[],[],NA,NA,NA,NA,NA,NA,32860,752425,[ ],NA,NA,NA,4796,39480,5070,-69930,4270,NONE,154,4656,9,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4504 ms,0,[],[],NA,NA,NA,NA,595000,NA,NA,NA,4504,SPAN_NONE,38460,5065,-68230,4245,"4,96",-12109,12127,NA,NA,NA,FALSE,DOWN,54,[ ],NA,NA,NA,4502,37950,5070,-67920,4250,8,[],FALSE,Saccade: 4450 ms,0,[],[],NA,NA,NA,NA,NA,NA,30567,752081,[ ],NA,NA,NA,4450,51040,5150,-86440,4470,Trial: 1,15,747615,NA,NA,NA,NA
anders,1,FALSE,3.71,5544,13184,NA,NA,NA,FALSE,UP,42,[ ],NA,NA,NA,NA,NA,NA,4836,50190,5120,-83190,4420,10,[],FALSE,Saccade: 4796 ms,0,[],[],NA,NA,NA,NA,NA,NA,NA,NA,32860,752425,[ ],NA,NA,NA,NA,NA,NA,4796,39480,5070,-69930,4270,anders.EDF,LEFT,TRUE,754604,NA,Full Trial Period,TRUE,747615,NONE,150,4986,11,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4838 ms,0,[],[],NA,NA,NA,NA,608300,NA,NA,NA,4838,SPAN_NONE,50800,5130,-85630,4445,"0,85",9538,4613,NA,NA,NA,FALSE,UP,16,[ ],NA,NA,NA,5002,50390,5180,-89840,4520,11,[],FALSE,Saccade: 4988 ms,0,[],[],NA,NA,NA,NA,NA,NA,6799,752609,[ ],NA,NA,NA,4988,50800,5140,-86050,4460,NONE,130,4794,10,[],[ ],NA,NA,NA,NA,NA,FALSE,Fixation: 4666 ms,0,[],[],NA,NA,NA,NA,606500,NA,NA,NA,4666,SPAN_NONE,39570,5070,-69820,4270,"0,32",6576,3687,NA,NA,NA,FALSE,NA,8,[ ],NA,NA,NA,4664,39550,5070,-69800,4260,9,[],FALSE,Saccade: 4658 ms,0,[],[],NA,NA,NA,NA,NA,NA,3997,752277,[ ],NA,NA,NA,4658,38890,5070,-68570,4250,Trial: 1,15,747615,NA,NA,NA,NA
